First guess: aurei
Key:
-   black
o   yellow
+   green
Second guesses: 
-----: wooly (10)
----o: lints (14)
---o-: tense (10)
---oo: cline (8)
---+-: tonal (7)
---+o: linds (2)
--o--: loons (8)
--o-o: crons (8)
--oo-: crept (6)
--ooo: print (5)
--o+-: ovels (14)
--o+o: dints (9)
--+--: thorn (3)
--+-o: might (1)
--+o-: score (5)
--+oo: steed (1)
--++-: cease (1)
-o---: hongs (7)
-o--o: unfit (2)
-o-o-: douts (3)
-o-oo: smite (1)
-o-+-: dawns (1)
-oo--: ponts (3)
-oo-o: rebut (1)
-ooo-: rebut (3)
-oo+-: plant (2)
-o+--: botch (1)
-o+o-: rebut (1)
-+---: lymph (12)
-+--o: blist (2)
-+--+: cigar (1)
-+-o-: angle (3)
-+-oo: celts (1)
-+-+-: evade (1)
-+o--: thumb (1)
-+o+-: bleed (2)
-++--: cloth (2)
-++-o: cigar (1)
-++o-: spicy (1)
-+++-: serve (1)
o----: stony (18)
o---o: natal (6)
o---+: humph (1)
o--o-: stale (12)
o--oo: manga (1)
o--+-: light (4)
o-o--: canso (12)
o-o-o: triad (4)
o-o-+: rebut (1)
o-oo-: brace (11)
o-ooo: rebut (1)
o-o+-: glint (9)
o-+--: toshy (3)
o-+-o: cigar (1)
o-+o-: cable (1)
o-++-: humph (1)
oo---: tangy (4)
oo-o-: slung (2)
ooo--: focal (1)
o+---: altar (2)
o+-o-: sissy (1)
o+o--: stand (1)
o++--: rebut (1)
+----: bloat (2)
+---o: flint (2)
+--o-: globe (3)
+--oo: blink (1)
+--+-: blush (2)
+-o--: baton (2)
+-oo-: growl (1)
+-ooo: sissy (1)
+-o+-: flume (1)
+-+--: naval (1)
+o---: front (1)
+o-o-: rebut (1)
+ooo-: cigar (1)
++--o: rebut (1)
