First guess: raise
Key:
-   black
o   yellow
+   green
Second guesses:
-----: bludy (13)
----o: denet (9)
----+: could (5)
---o-: muton (7)
---oo: spilt (4)
---o+: cloth (3)
---+-: floss (2)
---+o: clogs (1)
---++: colon (3)
--o--: until (11)
--o-o: lipid (3)
--o-+: pinto (4)
--oo-: stout (2)
--ooo: stink (1)
--oo+: using (1)
--o+-: stomp (1)
--+--: clout (5)
--+-o: death (2)
--+-+: moult (3)
--+o-: plant (4)
--+oo: blush (1)
--+o+: plant (3)
--++-: forth (2)
--++o: rebut (1)
--+++: humph (1)
-o---: north (6)
-o--o: hotel (16)
-o--+: ought (3)
-o-o-: burnt (3)
-o-oo: sweet (3)
-o-o+: potch (2)
-o-+-: rebut (1)
-o-++: pound (2)
-oo--: gumbo (2)
-oo-o: daven (7)
-oo-+: dwarf (1)
-ooo-: stout (1)
-oooo: renew (1)
-o+--: moult (1)
-o+-o: feign (1)
-o+o-: thumb (1)
-o+o+: humph (1)
-+---: plunk (6)
-+--o: caged (3)
-+--+: depot (4)
-+-+-: crust (2)
-+-+o: dutch (1)
-+o--: front (1)
-++--: plunk (4)
-++-o: dutch (2)
-++-+: thump (4)
-+++-: awake (2)
o----: canty (14)
o---o: natal (7)
o---+: blaud (7)
o--o-: lanch (6)
o--oo: smelt (2)
o--o+: sloth (5)
o--+-: slosh (3)
o--+o: lofty (1)
o--++: lauch (1)
o-o--: natal (4)
o-o-o: focal (1)
o-o-+: cigar (1)
o-oo-: natal (2)
o-+--: focal (2)
o-+-+: naval (1)
o-++-: rebut (1)
oo---: duroy (7)
oo--o: malty (12)
oo--+: fling (1)
oo-o-: clapt (3)
oo-oo: whelp (2)
oo-o+: chant (1)
oo-+-: humph (1)
ooo--: radar (2)
oo+--: found (1)
o+---: count (5)
o+--o: dutch (3)
o+--+: cadge (4)
o+-+-: bachs (1)
o+o--: digit (2)
o++--: bleed (1)
+----: flout (2)
+---o: aland (1)
+---+: globe (3)
+--o-: cigar (1)
+--oo: heath (1)
+--+-: heath (1)
+--++: rebut (1)
+-o--: stand (2)
+-+--: nopal (1)
+-+-+: knoll (1)
+o---: thorn (2)
+o--o: golem (1)
+o--+: evade (1)
++---: abram (1)
